Nama Wilayah,,,,,,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,,,,,,
Sumbawa,296914,300643,320617,340254,369115,376307,404396,441977
Dompu,263458,266483,284188,328740,362142,370120,404413,442451
Bima,282854,288703,308695,327602,356352,363228,395040,429327
Sumbawa Barat,435890,444465,459065,468122,489863,499013,518619,565599
Lombok Utara,387265,398702,416705,437543,451721,478906,514755,556462
Kota Mataram,414115,428754,457950,480304,499959,524762,562661,616536
Kota Bima,293048,299346,323187,352593,383161,399193,432959,471841
NUSA TENGGARA TIMUR,322947,343396,354898,373922,403005,415116,460823,507203
Sumba Barat,290944,315066,326334,331713,358252,364361,395592,422382
Sumba Timur,295684,320199,331295,343589,370487,375859,414832,443502
Kupang,309208,325677,336984,356463,379600,386577,425750,471901
Timor Tengah Selatan,276727,293617,302124,318986,338099,344239,382167,420783
Timor Tengah Utara,316487,335517,343965,363162,386990,394818,440155,485744
Belu,300914,319280,330944,349414,372087,379280,416519,459111
Alor,268450,287878,305853,311560,336402,364939,400858,438013
Lembata,309992,335693,353957,359792,388577,421901,464542,508575
Flores Timur,246851,267317,281757,279268,301611,329340,364117,405486
Sikka,266257,288332,298357,301994,324775,354234,389455,428352
Ende,315095,341219,358986,363508,392591,428328,473403,518939
Ngada,291602,315778,331266,336601,363531,396506,435916,477840
Manggarai,283439,306419,311833,316910,340633,371531,407261,443908
Rote Ndao,279079,283704,287867,305166,322619,341135,372179,410491
Manggarai Barat,282412,304277,313380,318546,340094,370943,405746,444474
Sumba Tengah,250589,271365,280425,285048,307853,311199,341513,362089
Sumba Barat Daya,313705,338742,350906,355252,383674,390217,432375,475879
Nagekeo,292032,316717,323316,328646,353481,386027,422982,472041
Manggarai Timur,276703,299530,313593,318762,344642,373972,411670,446504
Sabu Raijua,332332,354983,368187,374256,403846,438492,480844,526831
Malaka,302584,321052,330899,348919,371812,378824,419292,458399
Kota Kupang,482857,504179,518095,545219,587921,599880,648982,732921
KALIMANTAN BARAT,347880,377219,409287,438555,471200,483454,520660,563288
Sambas,345066,369202,407346,427240,438062,451173,472079,498209
Bengkayang,291430,311815,339891,357112,365755,372793,396037,416148
Landak,300123,320600,351942,374117,385314,395486,414536,451681
Pontianak,292129,318682,337350,360962,379808,387948,414334,444790
Sanggau,265067,283608,312909,328763,346983,363714,395305,416112
Ketapang,366250,391868,432354,454160,468450,482824,499724,539108
Sintang,446381,477604,551704,556885,573128,593844,620670,644010
Kapuas Hulu,369981,384275,430652,452471,465360,481826,508087,543301
Sekadau,269324,288162,313930,329835,339456,351726,370836,392195
Melawi,431660,461462,509138,534933,550535,570434,602209,640608
Kayong Utara,244046,260114,287078,302811,311643,321356,339089,365262
Kubu Raya,329511,359461,377302,401586,423430,431211,457367,492642
Kota Pontianak,427783,439648,483618,523736,567432,578615,622735,677512
Kota Singkawang,387801,410717,464673,492131,510596,527892,552823,588561
KALIMANTAN TENGAH,373484,401537,413529,438248,485635,506982,548816,596184
Kotawaringin Barat,319064,338230,344337,360942,397883,418388,476297,513949
Kotawaringin Timur,353640,381776,393474,416777,446039,467551,510290,547170
Kapuas,266943,283222,291820,305809,332999,345272,424066,485958
Barito Selatan,355341,377932,389405,408072,433787,450706,481352,512492
Barito Utara,420100,446807,450936,472552,504430,525236,563393,590832
Sukamara,418026,427101,442086,469353,522601,568578,619116,648534
Lamandau,380888,409912,411088,430656,479514,539744,588591,634710
Seruyan,387592,415798,428539,454971,504264,529892,571049,608186
Katingan,387848,412113,420418,434609,474056,498487,553082,589596
Pulang Pisau,335165,347878,349978,365674,395989,411258,454933,507058
Gunung Mas,365198,388415,388864,403045,438881,456984,479550,526341
Barito Timur,442068,467091,478510,487185,517183,534896,571786,623053
Murung Raya,402682,421903,442639,462334,492693,510939,550105,607650
Kota Palangka Raya,324082,345417,353853,379420,435008,456276,485800,530223
KALIMANTAN SELATAN,377480,402424,427774,457222,497262,519150,553073,604266
Tanah Laut,400757,425152,447212,480010,522845,537854,575061,620532
Kota Baru,369147,384977,401300,416388,466121,481452,505601,556962
Banjar,360494,381862,400081,429422,462375,482867,514991,561521
Barito Kuala,274571,291285,297199,318995,340526,355160,375707,417110
Tapin,369153,390488,405591,406367,446577,459160,484113,516532
Hulu Sungai Selatan,409235,431296,444455,461581,528622,494203,516857,547855
Hulu Sungai Tengah,322392,341024,354214,365008,417778,425438,444331,475655
Hulu Sungai Utara,385338,407608,420783,436997,488237,501994,526919,561429
Tabalong,406669,430129,446765,463980,531180,542800,573018,615912
Tanah Bumbu,408481,427852,451714,475763,513803,530568,557500,619249
Balangan,348442,368580,382835,396532,441488,453928,476190,508157
Kota Banjarmasin,417174,445428,477210,509773,543546,606330,651383,708617
Kota Banjar Baru,505380,539608,572195,614757,652030,653556,692830,753899
KALIMANTAN TIMUR,511205,548094,574704,609155,662302,689035,728208,790186
Paser,395803,433823,455635,477440,515414,527659,556371,600332
Kutai Barat,447311,485551,517621,542393,583532,598037,635478,679660
Kutai Kartanegara,424717,450581,485435,503968,548423,569640,605321,644570
Kutai Timur,470228,512345,543442,569449,610858,626492,659136,714241
Berau,465161,496385,502564,526615,568500,595550,624948,677819
